Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
225,Talen Horton-Tucker\hortota01,SG,19,LAL,2,0,5,0,9.5,0,0,9.5,0,0,0,,0,0,,0,0,0,19,9.5,0,0,0,0
226,Danuel House\houseda01,SF,26,HOU,59,48,1781,5.6,12.9,0.43,3.1,8.4,0.368,2.4,4.5,0.547,1.8,2.2,0.8,1.5,5.1,6.5,2.1,1.7,0.8,1.3,3.2,16
227,Dwight Howard\howardw01,C,34,LAL,64,2,1223,7.4,10.1,0.734,0.1,0.2,0.6,7.3,9.9,0.736,3.5,7.2,0.489,6.2,11.9,18.1,1.7,1.1,3,3,8.1,18.4
228,William Howard\howarwi01,SG,26,HOU,2,0,13,0,14.3,0,0,14.3,0,0,0,,0,0,,0,7.1,7.1,3.6,0,0,3.6,3.6,0
229,Kevin Huerter\huertke01,SG,21,ATL,56,48,1760,6.7,16.1,0.413,3.4,8.8,0.38,3.3,7.3,0.453,1.4,1.7,0.828,0.9,5.1,6,5.6,1.4,0.7,2.3,3.7,18.1
230,De'Andre Hunter\huntede01,SF,22,ATL,63,62,2018,6.5,15.8,0.41,2.5,7,0.355,4,8.8,0.454,2.5,3.3,0.764,1,5.6,6.6,2.6,1,0.4,2.4,4.2,18
231,Chandler Hutchison\hutchch01,SF,23,CHI,28,10,527,7.3,16,0.457,1.1,3.5,0.316,6.2,12.5,0.496,4.2,7.1,0.59,1.6,8.2,9.9,2.4,2.5,0.6,2.5,4.3,19.9
232,Serge Ibaka\ibakase01,C,30,TOR,51,27,1397,11.1,21.5,0.517,2.3,5.7,0.393,8.8,15.7,0.562,3,4.1,0.748,3.6,10.7,14.3,2.5,0.8,1.5,3.5,4.9,27.5
233,Andre Iguodala\iguodan01,SG,36,MIA,15,0,274,4.6,9.5,0.491,1.8,4.6,0.385,2.9,4.8,0.593,0.4,1.4,0.25,1.8,7.7,9.5,5.2,1.4,2.9,3.6,5.5,11.4
234,Ersan ?lyasova\ilyaser01,PF,32,MIL,57,8,909,6.9,14.7,0.473,2.4,6.3,0.376,4.6,8.4,0.545,3.3,4,0.835,3,11.1,14.1,2.4,1.2,0.7,1.7,4.4,19.6
235,Joe Ingles\inglejo01,SF,32,UTA,66,39,1980,5.5,12.5,0.444,3.1,7.8,0.394,2.5,4.7,0.526,1.7,2.2,0.775,0.6,5.8,6.4,8.3,1.5,0.2,3.2,3.5,15.9
236,Brandon Ingram\ingrabr01,PF,22,NOP,58,58,1975,11.3,24.3,0.464,3.3,8.6,0.384,8,15.7,0.507,6.8,8,0.859,1.2,7.3,8.4,5.6,1.3,0.9,4.2,3.9,32.6
237,Kyrie Irving\irvinky01,PG,27,BRK,20,20,658,14.3,30,0.478,4,10.2,0.394,10.3,19.8,0.522,6.8,7.4,0.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.5
238,Jonathan Isaac\isaacjo01,SF,22,ORL,33,32,965,7.8,16.6,0.471,1.6,4.7,0.344,6.2,11.9,0.521,2.9,3.8,0.773,2.9,8.6,11.5,2.2,2.6,3.9,2.4,4.1,20.2
239,Wesley Iwundu\iwundwe01,SF,25,ORL,45,18,810,4.6,11.7,0.397,1.3,4,0.313,3.4,7.6,0.441,3.7,4.6,0.816,1.4,5.4,6.8,2.8,1.5,0.7,1.1,3.7,14.3
240,Frank Jackson\jacksfr01,PG,21,NOP,53,1,682,7,18.4,0.382,2.6,8.3,0.317,4.4,10.1,0.436,3.3,4.5,0.742,1.4,3.9,5.2,3.3,1,0.3,2.9,4.5,20.1
241,Jaren Jackson Jr.\jacksja02,C,20,MEM,55,55,1555,10.2,21.7,0.467,4.2,10.7,0.397,5.9,11.1,0.535,3.9,5.3,0.743,1.6,6.1,7.7,2.3,1.1,2.6,2.9,6.7,28.4
242,Josh Jackson\jacksjo02,SG,22,MEM,19,0,370,8.8,20.1,0.44,2.9,9.1,0.319,5.9,11,0.54,4.2,6.1,0.688,1.4,6.7,8.1,4.2,2.3,1.1,3.3,4.9,24.7
243,Justin Jackson\jacksju01,PF,24,DAL,59,2,937,6.4,16.1,0.397,2.3,7.8,0.298,4.1,8.3,0.491,1.9,2.3,0.818,1.4,6,7.4,2.5,0.6,0.5,0.6,3,17
244,Reggie Jackson\jacksre01,PG,29,TOT,25,12,610,9.1,21.9,0.417,3.9,9.6,0.405,5.2,12.3,0.426,3.2,3.9,0.816,1.3,5.2,6.4,8.5,1,0.4,3.5,3.3,25.3
244,Reggie Jackson\jacksre01,PG,29,DET,14,10,381,9.8,25.6,0.384,4,10.6,0.378,5.8,15,0.388,3.4,4.3,0.788,1.4,3.9,5.3,9.3,1,0.1,3,2.7,27
244,Reggie Jackson\jacksre01,PG,29,LAC,11,2,229,8,16.1,0.5,3.7,8,0.462,4.3,8,0.538,2.9,3.3,0.875,1,7.2,8.2,7.2,0.8,0.8,4.3,4.3,22.6
245,Justin James\jamesju01,SG,23,SAC,34,0,218,7.4,17.4,0.423,2,5.8,0.346,5.4,11.6,0.462,2.2,4.7,0.476,1.3,5.4,6.7,3.6,1.3,2,1.8,3.6,19
246,LeBron James\jamesle01,PG,35,LAL,62,62,2163,13.2,26.6,0.495,3,8.6,0.349,10.2,18,0.565,5.4,7.7,0.696,1.4,9.5,10.9,14.3,1.6,0.7,5.5,2.4,34.7
247,Amile Jefferson\jeffeam01,PF,26,ORL,18,0,74,3.3,9.2,0.357,0,0,,3.3,9.2,0.357,3.3,9.2,0.357,6.6,8.6,15.2,2.6,0.7,2,2,4.6,9.9
248,DaQuan Jeffries\jeffrda01,SG,22,SAC,7,0,26,7.5,15,0.5,1.9,7.5,0.25,5.6,7.5,0.75,3.7,3.7,1,1.9,1.9,3.7,1.9,1.9,0,0,5.6,20.6
249,Ty Jerome\jeromty01,PG,22,PHO,28,0,315,5.6,15.9,0.349,2,7.1,0.277,3.6,8.9,0.407,1.7,2.1,0.786,0.9,5.3,6.2,6.5,2.1,0.5,2.7,4.2,14.7
250,Alize Johnson\johnsal02,SF,23,IND,13,0,54,6.3,13.5,0.467,0,0,,6.3,13.5,0.467,3.6,5.4,0.667,6.3,9.9,16.2,1.8,0,0,2.7,5.4,16.2
251,B.J. Johnson\johnsbj01,SF,24,ORL,8,0,46,5.3,19.1,0.278,1.1,6.4,0.167,4.2,12.7,0.333,2.1,2.1,1,1.1,5.3,6.4,2.1,2.1,0,3.2,0,13.8
252,Cameron Johnson\johnsca02,PF,23,PHO,50,2,1021,6.5,15.4,0.423,4.3,10.8,0.397,2.3,4.7,0.485,1.7,2.2,0.766,1.9,4.8,6.6,2.5,1.4,0.7,1.4,3.6,19
253,James Johnson\johnsja01,PF,32,TOT,32,1,619,7.9,16.5,0.479,2.5,7,0.363,5.4,9.5,0.565,2.4,3.7,0.646,1.9,7.1,9.1,5.7,1.9,2.5,3.7,6.1,20.7
253,James Johnson\johnsja01,PF,32,MIA,18,0,281,6.8,15.1,0.448,2.8,7.8,0.356,4,7.3,0.548,1.4,2.4,0.571,1.4,7.7,9.1,3.7,1,2.3,2.6,5.9,17.8
253,James Johnson\johnsja01,PF,32,MIN,14,1,338,8.8,17.6,0.5,2.3,6.3,0.37,6.5,11.3,0.573,3.2,4.7,0.676,2.3,6.7,9.1,7.3,2.6,2.6,4.5,6.3,23.1
254,Keldon Johnson\johnske04,SF,20,SAS,10,0,122,7.5,14.9,0.5,1.6,3.5,0.444,5.9,11.4,0.517,2.8,4.7,0.583,2.4,6.7,9,3.1,2.4,0.4,1.2,3.9,19.3
255,Stanley Johnson\johnsst04,PF,23,TOR,20,0,96,4,15.4,0.258,1,6.5,0.154,3,8.9,0.333,2.5,3,0.833,1.5,9.4,10.9,4,2,1,4,5,11.4
256,Tyler Johnson\johnsty01,SG,27,TOT,32,3,534,5.9,15.9,0.374,2.2,7.7,0.287,3.7,8.2,0.457,2.7,3.4,0.789,1,3.8,4.8,4.8,1.1,0.7,2.1,4.1,16.7
256,Tyler Johnson\johnsty01,SG,27,PHO,31,3,515,6,15.7,0.38,2.2,7.6,0.289,3.8,8.1,0.466,2.2,2.9,0.75,0.9,3.9,4.8,4.6,1.1,0.7,2.2,4,16.4
256,Tyler Johnson\johnsty01,G,27,BRK,1,0,19,5,20,0.25,2.5,10,0.25,2.5,10,0.25,15,15,1,2.5,2.5,5,10,0,0,0,7.5,27.5
257,Nikola Joki?\jokicni01,C,24,DEN,66,66,2135,12,22.8,0.527,1.7,5.3,0.312,10.3,17.4,0.593,5.1,6.3,0.81,3.6,11.9,15.5,10.5,1.8,1,4.7,4.7,30.8
258,Damian Jones\jonesda03,C,24,ATL,55,27,887,6.4,9.4,0.68,0.1,0.5,0.222,6.3,8.9,0.704,3.3,4.4,0.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1
259,Derrick Jones Jr.\jonesde02,SF,22,MIA,52,15,1261,6.4,12.6,0.511,1.3,4.9,0.268,5.1,7.7,0.667,3.5,4.5,0.774,2.2,6.1,8.3,2.2,2.1,1.4,1,4.5,17.7
