Win,Age,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
28,26,5,20.3,0.686,0,0.319,11.5,21.2,16.2,5.4,1.7,4.6,12.1,16,3.2,1.5,4.7,0.196,0.5,0.8,1.3,0.9
29,27,3,12.2,0.625,0.413,0.157,1.7,10.3,6,7.1,1.3,0.5,9.4,13.9,0.9,0.2,1.1,0.086,-0.4,-0.5,-0.9,0.2
39,33,5,15.6,0.526,0.4,0.112,5.5,19.1,12.3,19,1.3,2.5,8.9,17.6,2.5,2.5,5,0.128,1.1,1.1,2.1,2
50,19,2,14.8,0,1,0,0,0,0,45.3,9.5,0,0,8.4,0,0,0,0.11,0.6,7.2,7.8,0
40,26,3,11.5,0.576,0.653,0.172,3.3,11.6,7.4,6,1.7,1.5,8.6,13.5,2,1.6,3.6,0.096,-0.6,0.1,-0.5,0.7
50,34,5,18.5,0.695,0.019,0.718,14.6,26.6,20.7,4.9,1.1,5.6,18.2,14.4,2.6,2.5,5.1,0.199,-0.9,1.4,0.4,0.8
40,26,2,-12.7,0,1,0,0,16.2,8.1,9,0,0,20,15.9,-0.1,0,-0.1,-0.355,-14.9,-5.7,-20.7,-0.1
20,21,2,11.6,0.536,0.548,0.105,2.1,12,7,17.5,1.4,1.3,12,17.1,1,0.6,1.6,0.043,-0.6,-0.9,-1.6,0.2
20,22,3,8.6,0.521,0.445,0.211,2.3,13.1,7.6,8,1,0.7,12.1,17.5,-0.4,0.5,0.1,0.001,-2.8,-1.8,-4.7,-1.4
22,23,3,12.4,0.521,0.217,0.446,3.6,19.8,11.3,7.4,2.5,1.3,11.4,19.1,0,0.7,0.7,0.06,-2.7,0.1,-2.6,-0.1
46,30,5,17.7,0.591,0.267,0.189,8.1,23.1,15.8,8.6,0.8,3.1,13.1,24,1.4,2.5,3.8,0.132,0.3,-0.1,0.3,0.8
41,36,2,10,0.566,0.491,0.151,4.3,16.9,10.9,14.7,1.4,5.8,26.1,12.3,0,0.4,0.4,0.064,-2.8,1.6,-1.2,0.1
53,32,4,15.2,0.595,0.428,0.271,7,22.5,15.2,6.9,1.2,1.3,9.4,16.4,1.5,1.9,3.4,0.181,-0.2,0.8,0.6,0.6
42,32,3,12.4,0.59,0.625,0.176,1.4,12.5,7.2,23.7,1.5,0.4,19.2,15,2.4,2,4.4,0.107,-0.1,0.7,0.6,1.3
28,22,4,18.9,0.588,0.354,0.328,2.6,16.6,9.6,19.2,1.3,1.6,13.1,28.2,3.1,1.7,4.8,0.118,2.7,-0.4,2.3,2.1
30,27,1,26.3,0.595,0.341,0.245,3.5,12.4,8.1,37.3,1.9,1.3,10.1,32.6,2.1,0.8,2.9,0.215,6.6,1,7.6,1.6
30,22,3,17.3,0.552,0.283,0.228,6.3,19.6,12.7,6.9,2.6,7.3,11.5,18.3,0.6,1.9,2.5,0.122,-0.6,2.9,2.3,1
30,25,3,9.9,0.521,0.345,0.392,3,12.3,7.5,7.9,1.5,1.2,7.3,13.1,0.6,0.8,1.3,0.08,-3.1,0.2,-2.9,-0.2
28,21,1,7.9,0.492,0.452,0.243,3.1,8.9,5.9,9.7,1,0.5,12.5,20.6,-0.4,0.3,-0.1,-0.005,-3.9,-1.9,-5.8,-0.7
32,20,5,16.2,0.592,0.491,0.242,3.7,13.5,8.7,7.3,1.1,4.9,10.6,23.9,1.6,1.6,3.3,0.101,0.3,0,0.2,0.9
32,22,2,14.4,0.544,0.453,0.302,3.2,14.8,9.1,12.8,2.3,2.1,12.6,23.2,0.1,0.4,0.5,0.068,-1,1.2,0.2,0.2
40,24,4,9.9,0.496,0.484,0.141,3.1,12.7,8,7.2,0.6,0.9,3.5,15.6,0.6,0.6,1.2,0.063,-1.7,-1.2,-3,-0.2
20,29,1,14.8,0.492,0.414,0.167,3.2,9.1,6.1,30.8,1,0.2,9.8,27,0.2,0.1,0.4,0.047,1.7,-2.2,-0.5,0.1
44,29,1,15.4,0.647,0.5,0.205,2.3,15.4,9,22.2,0.8,1.5,19.8,19.3,0.4,0.3,0.7,0.138,1.9,0.8,2.7,0.3
28,23,2,11.5,0.487,0.333,0.269,3,12.7,7.8,10.7,1.3,3.9,8.4,19,0,0.2,0.2,0.036,-1,0.2,-0.7,0.1
50,35,1,25.6,0.579,0.325,0.291,3.2,21.3,12.4,49.4,1.6,1.3,15.4,31.5,6,3.5,9.5,0.211,6.6,1.9,8.5,5.7
30,26,4,8.9,0.372,0,1,14.1,19.5,16.7,7.2,0.7,3.7,13,13.5,0,0.1,0,0.023,-4.9,-1,-5.9,-0.1
28,22,2,14.7,0.619,0.5,0.25,4.2,4.4,4.3,5.6,1.9,0,0,14.9,0.1,0,0.1,0.156,-0.6,-0.1,-0.7,0
26,22,1,8.1,0.437,0.443,0.132,2.1,12.6,7.3,18.7,2.1,0.8,13.8,17.6,-0.3,0.3,0,-0.001,-3.9,0,-3.8,-0.1
39,23,3,10.8,0.51,0,0.4,14.4,22.3,18.4,5,0,0,14.5,16.8,0,0,0.1,0.07,-3.2,-1.6,-4.8,0
30,24,3,2.5,0.344,0.333,0.111,2.3,12.1,7,6.1,2.1,0,13.7,20.6,-0.2,0,-0.1,-0.133,-7.2,-2.5,-9.7,-0.1
26,23,4,12.3,0.58,0.697,0.141,4.3,11.5,7.8,7.5,1.4,1.4,7.8,16,1.1,0.8,1.9,0.088,0.5,-0.7,-0.2,0.5
41,32,4,11.1,0.547,0.517,0.161,3.4,16.9,10.4,11.1,1,4.6,13.9,17,0,0.4,0.4,0.067,-2.6,0.7,-1.9,0
19,32,4,17.9,0.588,0.359,0.266,5.1,15.9,10.3,24.4,2.6,4.7,18.8,21.4,0.3,0.4,0.8,0.109,0.2,1.5,1.7,0.3
27,20,3,15.2,0.566,0.237,0.316,5.3,15.1,10.2,9.2,2.4,0.7,6.5,16.5,0.2,0.1,0.3,0.107,-0.4,-0.5,-0.9,0
46,23,4,3.1,0.342,0.419,0.194,3.4,20.4,12.1,11,2,2,19.2,18.6,-0.3,0.2,-0.1,-0.066,-7.9,1.4,-6.5,-0.1
26,27,2,8.1,0.481,0.485,0.187,2.1,9.3,5.6,13.5,1.1,1.4,11.5,17.3,-0.2,0.3,0.1,0.011,-3,-0.7,-3.7,-0.2
43,24,5,24.9,0.602,0.235,0.278,8.1,27,17.5,34.2,1.8,1.9,15.6,26.6,5.9,3.2,9.1,0.205,5.3,2.2,7.6,5.1
20,24,5,15.5,0.712,0.051,0.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,0.152,-1.6,0.1,-1.4,0.1
41,22,3,14.7,0.606,0.391,0.354,5.3,13.5,9.6,6.7,2.1,2.8,6.7,14.1,2.3,1.7,3.9,0.149,-0.4,1.1,0.7,0.8
32,23,1,15.7,0.532,0.289,0.135,0.8,7.9,4.4,31.8,2.2,0.4,10.8,17.2,2,1,2.9,0.114,0.4,0.1,0.6,0.8
30,31,5,20,0.682,0,0.425,12.1,34.3,23.5,12.7,0.7,3.5,17.8,14.1,3,2.2,5.2,0.203,1.1,1.8,2.8,1.5
28,28,1,10.3,0.513,0.369,0.155,2.6,9.5,5.9,19.3,1.5,1.3,14,12.9,1.2,1,2.2,0.066,-2.1,0.3,-1.8,0.1
44,22,5,18.2,0.614,0.625,0.156,1.7,15.8,8.9,4.9,1.5,2.7,5.5,23.6,0.1,0.1,0.2,0.175,2.2,-0.1,2.1,0.1
26,26,5,14.3,0.55,0.403,0.311,4.5,20.3,12.3,15,0.8,1.2,9.6,20.8,0.8,0.6,1.3,0.089,0,-0.3,-0.3,0.3
43,27,5,21.9,0.593,0.022,0.284,17,30.1,23.6,8.3,1.2,3.9,12.9,19.1,2.1,1.7,3.9,0.205,1.5,-0.1,1.5,0.8
20,23,2,14.4,0.59,0.535,0.216,1.1,11.1,6,19.2,0.6,0.5,10.3,19.8,1.6,0.3,1.9,0.1,1.1,-1.4,-0.3,0.4
42,27,3,-13.7,0,0.333,0,0,21,11,8,0,0,40,14.6,-0.1,0,-0.1,-0.326,-15.6,-1.3,-16.9,-0.1
23,26,4,6.1,0.421,0.321,0.17,5.9,18.4,11.9,9.5,0,1.7,10.9,17.6,-0.2,0.1,-0.1,-0.029,-5.3,-1.6,-6.9,-0.2
40,26,3,-0.1,0.254,0.429,0.286,4.5,24.6,14.7,5,1.4,2.4,43.2,8.3,-0.2,0.1,-0.1,-0.056,-9.7,0.8,-8.9,-0.1
20,20,3,6.3,0.448,0.524,0.143,1.8,16.7,9.2,11.8,1.6,0,8.2,17.1,-0.1,0,0,-0.007,-5.1,-1.1,-6.2,-0.1
40,28,5,13.6,0.602,0.614,0.174,6.2,15.5,11,6.3,0.6,3.9,9,13.8,3,1.7,4.6,0.128,0.4,0.2,0.6,1.1
19,28,1,5.4,0.431,0.744,0.151,1.4,7.9,4.6,18,1,0.7,14.9,19.1,-0.3,0,-0.3,-0.062,-3.9,-2.8,-6.6,-0.3
20,28,1,11.9,0.576,0.827,0.259,0.5,10.4,5.4,25.6,1.1,0.4,19.6,22.2,0.1,0.1,0.2,0.046,0.5,-2.5,-2,0
21,20,3,8.4,0.47,0.496,0.252,2.5,14.7,8.4,7.4,1,2.3,9.2,17.8,-0.5,0.7,0.2,0.006,-3.1,-1.1,-4.2,-0.6
32,23,2,19,0.711,0.257,0.057,11.6,17.3,14.5,16.8,2,1.6,14.3,10.4,0.5,0.2,0.7,0.194,2.7,2.2,5,0.3
39,22,2,11.6,0.568,0.62,0.145,1.3,10.4,5.8,7.4,1.2,0.9,8.6,18.4,1,1.3,2.3,0.079,-0.6,-0.9,-1.5,0.2
22,24,5,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.5,0.5,1.1,0.091,-0.9,-0.2,-1.1,0.1
53,38,3,11.3,0.613,0.803,0.129,1.7,10.1,6.2,9.5,1.2,1.2,13.6,15.7,0.8,1.4,2.2,0.124,-0.5,0.7,0.2,0.5
30,21,4,8.7,0.559,0.493,0.217,3.9,16.4,10.3,9.6,1.6,0.5,18.8,15.1,0,0.6,0.6,0.054,-3.8,0.9,-2.8,-0.1
50,24,4,11.7,0.527,0.411,0.228,3.9,15.8,9.9,7.5,0.7,1.5,11.5,23,-0.1,1.7,1.7,0.057,-1.9,-1.1,-3,-0.4
29,23,5,15.4,0.588,0.088,0.224,12.1,18.8,15.5,10.2,0.6,4.6,15.7,14.3,1,0.4,1.4,0.121,-1.5,0.3,-1.3,0.1
39,27,2,14.1,0.547,0.33,0.23,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.6,0.9,1.7,2.6,0.098,-1.1,0.7,-0.4,0.5
43,20,2,6,0.465,0.359,0.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,-0.1,0.3,0.2,0.039,-4.5,-0.1,-4.6,-0.2
