Win,Age,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
46,26,3,4.7,0.432,0.792,0.25,0.9,10.7,5.9,8.3,1.5,1.6,10.1,10.1,-0.1,0.2,0.1,0.038,-4.3,1.4,-2.9,0
27,31,1,14.7,0.589,0.675,0.188,1.4,6,3.7,11.3,1.7,0.4,7.6,20.5,2.1,0.5,2.6,0.087,1.1,-1.2,-0.1,0.7
43,34,4,17.4,0.594,0.283,0.323,9,17.9,13.4,9.3,1.8,2.3,12.2,20.3,1.9,1.4,3.3,0.145,0.5,0,0.5,0.7
39,23,2,14.5,0.63,0.491,0.234,1.9,10.1,6,17.3,1.5,0.8,14.6,19.2,1,0.6,1.6,0.125,0,-0.7,-0.8,0.2
42,23,2,18.9,0.558,0.345,0.237,2.5,11,6.9,21.2,1.5,0.5,11,30.8,3,2.2,5.3,0.113,2.4,-0.5,1.8,2.2
39,26,2,10,0.438,0.688,0,0,15.3,7.7,22.1,1.1,2,11.1,18.4,0,0,0,0.015,-1.9,2.4,0.5,0
22,21,2,8.2,0.538,0.536,0.143,6.6,3.1,4.9,5,1.7,0,6.3,12.1,0.1,0.1,0.2,0.073,-3.1,-1,-4.1,-0.1
23,21,2,12.7,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,0.028,-1,-1.3,-2.3,-0.1
19,22,2,8.1,0.25,0.5,0,0,17.7,8.8,6.7,5.1,4.5,0,9,0,0,0,0.006,-5.3,5,-0.3,0
28,30,2,11.1,0.508,0.389,0.103,3.2,10.4,6.8,10.9,1.4,0.9,8,19.9,0.2,0.6,0.8,0.042,-1.9,-0.9,-2.8,-0.2
32,20,1,17.9,0.564,0.178,0.331,2.7,9.6,6.2,34.8,1.4,0.7,17.1,26.1,2.3,1.2,3.4,0.091,1.6,-1.3,0.3,1.1
42,22,4,10.1,0.578,0.316,0.105,8.5,19.5,14.2,3.5,0,1,13.1,12.4,0.1,0.1,0.1,0.089,-2.3,-0.5,-2.8,0
21,30,3,16.5,0.582,0.415,0.311,3.6,14.7,9,6.8,1.2,1.2,9.2,24.4,2.2,0.8,2.9,0.101,1.9,-1.1,0.8,1
44,30,4,6.5,0.466,0.512,0.087,1.9,11.8,7,6.7,1,2.5,12,16.2,-0.3,0.5,0.1,0.016,-3.8,0.3,-3.5,-0.2
20,30,4,12.7,0.573,0.486,0.203,2.7,17.3,9.9,11,1.3,0.9,14.2,21.8,0.3,0.7,1,0.049,-1,-1,-2.1,0
50,30,4,9.8,0.461,0.565,0.087,9.3,13.9,11.6,5.1,1.5,3.4,9.5,17,0,0.2,0.2,0.069,-2.6,0.4,-2.2,0
43,24,1,14.9,0.539,0.297,0.143,1.6,7.4,4.5,23.3,1.8,1,8.4,17.3,2.3,1.2,3.4,0.115,0.1,-0.1,0,0.7
44,24,4,28.4,0.774,0.067,0.467,7.8,17.2,12.6,33.1,3.4,0,21.7,23.4,0.2,0.1,0.3,0.301,4.8,3.3,8.1,0.1
42,23,1,13.4,0.547,0.267,0.253,2.5,13.9,8.4,20.9,1.4,1.1,17.1,22.3,0.2,0.9,1.1,0.067,-1.4,0.1,-1.2,0.2
15,25,2,7.8,0.533,0.776,0.179,1.5,11,6.1,5.8,0.5,0.4,6.5,16.2,0.1,0,0.1,0.017,-3.3,-2.9,-6.1,-0.2
27,23,1,17,0.534,0.168,0.172,4.9,20,12.5,23.8,3.3,1,15.7,20.7,0.9,1.7,2.6,0.085,-0.6,1.5,0.9,1.1
43,22,1,17.5,0.559,0.359,0.209,2.6,10.8,6.7,22.7,1.8,0.8,11.8,25.2,2.5,1.6,4.1,0.109,1.8,-0.7,1.1,1.4
30,20,3,8.5,0.477,0.468,0.312,4.8,13.2,9.1,11.1,1.5,0.2,16.2,19.3,-0.4,0.4,0.1,0.007,-4,-0.7,-4.7,-0.3
40,28,5,11.9,0.554,0.752,0.137,3,17.5,10.5,9.7,0.8,1.9,7.6,16.5,0.5,0.5,1,0.099,-0.3,-0.1,-0.4,0.2
20,22,3,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1,0.6,1.6,0.06,-0.7,-1.2,-1.8,0
40,26,3,11.2,0.582,0.475,0.281,2.1,10.7,6.6,6.6,1.3,2.2,12.7,16.5,0.4,0.8,1.2,0.075,-1.1,0.2,-0.8,0.2
19,27,5,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.3,1.8,1.4
19,28,1,13.9,0.539,0.562,0.311,2,11.9,6.8,31.3,2.2,0.7,19.1,19.1,0.6,0.6,1.3,0.071,-0.5,-0.2,-0.8,0.3
24,28,1,15,0.573,0.476,0.392,2.1,8.8,5.3,23.6,3.1,0.6,18.9,21.2,0.3,0.2,0.5,0.065,-0.1,-0.3,-0.5,0.2
39,27,1,11.4,0.558,0.404,0.174,2.1,8.1,5.1,19.2,1.9,0.7,18,17.2,0.3,0.6,0.9,0.071,-1.8,-0.1,-1.9,0
19,22,2,-11.3,0.347,0.5,1,0,0,0,0,0,0,25.8,41.5,0,0,0,-0.503,-14.5,-11.3,-25.9,0
42,26,4,11.7,0.59,0.694,0.078,2,12.7,7.6,6.7,0.8,0.5,8.2,17.1,0.9,0.7,1.6,0.094,0.5,-0.6,-0.1,0.4
44,34,5,13.8,0.687,0,6,18.7,29.7,24.3,13.7,0,5.2,35.5,13.8,0,0,0.1,0.201,-3.9,5.2,1.3,0
40,25,5,21.7,0.714,0.012,0.392,9.4,20.1,14.9,7.7,2.6,7.1,15.8,15.2,2.7,2.1,4.8,0.224,0.5,3.5,3.9,1.5
50,22,2,-5.6,0,0,0,0,21.4,10.9,0,0,0,0,8.4,0,0,0,-0.149,-10.2,-2.4,-12.6,0
15,22,2,3.7,0.437,0.727,0.091,0,15.6,7.5,11.7,2.7,0,20.8,17.1,-0.1,0,-0.1,-0.075,-6.7,-1.1,-7.7,-0.1
19,20,2,10.5,0.471,0.491,0.321,2,7.3,4.5,17.8,0.9,0.6,4.7,17.3,0.1,0,0.2,0.051,-2.9,-0.8,-3.7,-0.1
21,21,1,9.8,0.497,0.411,0.177,2,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,0.037,-3.6,0.4,-3.2,-0.4
41,24,2,13.4,0.547,0.425,0.107,1.2,8.7,5.1,18.7,1.3,0.6,10.4,23.7,1,1.5,2.5,0.064,-0.7,-1.3,-2,0
29,25,5,26.3,0.62,0.091,0.727,6.4,21.7,14.2,21.1,2.9,15.4,21.6,23.8,0.1,0.1,0.1,0.206,2.5,4.7,7.3,0.1
30,27,3,14,0.627,0.394,0.38,3.2,13.9,8.7,4.4,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.141,-1.1,2,1,0.2
42,26,4,9.5,0.587,0.659,0.151,1.4,18.1,10.1,11.6,1.3,1.2,13.1,9.5,1.8,2.4,4.2,0.105,-1.2,2.2,1,1.5
39,29,5,18.1,0.541,0.319,0.264,13.7,28.2,21,19.1,0.9,7.2,18.3,16.4,0.3,0.5,0.8,0.154,-0.7,2.2,1.5,0.2
43,25,4,7.5,0.557,0.616,0.176,2.9,12,7.4,4.5,1,0.5,6.5,8.6,0.8,0.9,1.7,0.091,-2.2,0.6,-1.6,0.1
28,24,5,17.8,0.631,0.014,0.403,11.3,18.2,14.8,12.7,0.8,3.8,17.5,19.8,0.7,0.4,1.1,0.129,-0.8,0.6,-0.2,0.2
26,22,1,10.5,0.511,0.392,0.37,2.5,11.6,6.9,21.5,1.6,0.5,15.3,14.9,0.4,0.5,0.9,0.059,-2,-0.1,-2.1,0
19,21,2,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,1,1.2,2.2,0.067,-2.4,0,-2.4,-0.1
41,20,3,13.7,0.595,0.2,0.4,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,0,0,0.1,0.12,-1.2,4,2.7,0
39,27,2,11.9,0.5,0.429,0.246,2.7,11.6,7.2,16.2,1.6,0.7,13.8,26.8,-0.3,0.4,0,0.005,-1.8,-1.5,-3.3,-0.1
41,28,5,15.1,0.648,0.582,0.25,4,21.9,13.3,13.4,1.7,1.7,15.1,17,1.8,1.5,3.4,0.145,0.3,1.1,1.4,0.9
42,22,2,5.2,0.3,0.6,0,7.2,19.7,13.7,0,3,5.2,16.7,16.4,-0.1,0,0,-0.075,-3.3,0.9,-2.4,0
19,24,3,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.1,0.5,1.6,0.04,-1.6,-0.9,-2.6,-0.3
26,24,3,14.9,0.56,0.372,0.298,3.8,17.3,10.4,6.7,1.7,1.8,8.2,22.4,1.7,1.9,3.7,0.091,-0.3,-0.4,-0.6,0.7
26,24,4,8.4,0.34,0.4,0.4,14.6,7.6,11.2,0,3.2,0,0,16.7,0,0,0,0.018,-3.1,-2.8,-5.9,0
15,33,1,12.7,0.557,0.318,0.045,2.4,5.1,3.7,33.2,1.1,0,15.1,25.7,0,0,0,0.011,-2.8,-3.1,-5.9,0
20,24,4,17.2,0.565,0.293,0.183,6.9,17.9,12.3,11.6,2.3,1.5,12.4,24,0.5,0.7,1.2,0.069,0.4,-0.3,0.1,0.4
28,24,4,4,0.291,0.167,0.333,0,30.8,15,17.4,0,0,0,20,0,0,0,-0.08,-6.9,-3.4,-10.3,0
20,31,3,5.6,0.389,0.778,0,2,12.1,7,7.5,3.5,1.6,14.3,16.1,-0.1,0,-0.1,-0.066,-4.7,-1.3,-6,-0.1
15,23,4,14.5,0.571,0.202,0.331,5.2,13.1,9,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2,-2.7,-0.3
24,24,5,11.6,0.555,0.019,0.509,10.2,17,13.4,5.7,0.9,2.6,14.5,15.6,0.3,0.2,0.5,0.056,-3.8,-1.6,-5.4,-0.3
44,30,4,11.3,0.574,0.755,0.173,4.9,15.2,10.2,7.1,0.4,0.4,7.9,14.6,0.9,0.7,1.6,0.116,0.8,-0.4,0.3,0.4
40,22,5,4.7,0.45,0.4,0,4.8,17.9,11.6,12.5,0,0,16.7,22.1,0,0,0,-0.064,-6.9,-3.3,-10.1,-0.1
40,34,1,21.9,0.61,0.343,0.31,1.2,15.6,8.7,33.5,2.4,0.4,13.1,23.2,5.7,2.6,8.3,0.197,3.1,1.3,4.4,3.3
21,25,1,16,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.3,0.3,0,0.6
24,27,1,11.3,0.473,0.397,0.069,6.4,14.3,10.2,14.7,3.6,1.4,14.3,13.4,0.1,0.4,0.4,0.049,-3.1,1.5,-1.6,0
39,26,5,11.3,0.521,0,0.343,9.9,27.3,18.6,5.3,0.3,11.9,24.4,12.9,-0.1,0.4,0.3,0.081,-7.1,3.1,-4.1,-0.1
30,24,2,5.2,0.37,0.516,0.103,2.9,12.2,7.6,21.9,2.2,0.9,16.9,22.4,-1,0.5,-0.6,-0.075,-6.9,-0.2,-7.1,-0.5
43,29,5,19.1,0.618,0.016,0.552,11,23.9,17.5,20,1.6,3.3,19.1,18.3,1.7,1.4,3.1,0.161,0.2,2,2.2,1
27,24,5,19.5,0.606,0,0.338,11.7,22.5,17.1,14.4,1.5,7.6,14.8,13.2,2.1,1.4,3.4,0.165,0.7,2.3,3,1.2
43,26,5,12.8,0.54,0.061,0.212,9.5,22.4,16,8.7,0.8,4.9,14.3,15.7,0.1,0.2,0.3,0.123,-4.5,0.7,-3.8,-0.1
46,21,1,33.2,0.765,0.4,0.4,0,9.4,4.8,32.2,0,8.8,0,22.9,0.1,0,0.1,0.452,8.4,5.3,13.7,0
15,20,2,7.2,0.454,0.528,0.237,0.7,9.6,5,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
19,19,3,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1,16.7,20.5,-0.3,0.6,0.3,0.011,-3.2,-0.6,-3.7,-0.5
43,21,4,18,0.585,0.372,0.149,8.6,23.5,16,8.4,1.4,2.7,10.8,22.1,1,0.9,1.9,0.132,1.2,-0.7,0.5,0.4
22,26,3,15.8,0.55,0.443,0.193,4.1,12.3,8,11.9,2.2,1.7,6.8,21,0.4,0.4,0.8,0.112,0.9,0.2,1,0.3
21,24,5,14.6,0.53,0.317,0.158,6,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1,1.9,0.064,0.1,-1.1,-1,0.3
40,24,4,19.7,0.543,0.442,0.287,5.9,25.6,16,8.6,1.1,5.6,8.4,26.7,1.9,2.6,4.5,0.133,1.3,0.3,1.6,1.5
40,28,5,16,0.677,0.17,0.485,7.5,14.7,11.2,7.7,1.5,1.8,11.5,12.6,2.6,1.1,3.7,0.167,0.4,1,1.4,0.9
46,26,2,16.9,0.622,0.455,0.25,1.9,11,6.6,9.5,2.1,1.3,10.1,21.6,2.1,2,4.1,0.151,1.2,0.8,2,1.3
15,26,1,6.7,0.377,0.5,1.5,0,5.6,2.7,15.7,2.4,0,0,7.1,0,0,0,0.044,-5.9,0.1,-5.8,0
21,25,4,17.5,0.538,0.23,0.35,7.5,24.9,16,15.8,1.2,1,14.3,27.6,1,1.7,2.7,0.062,0.7,-1,-0.3,0.9
40,22,2,-40,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,-1.034,-24.4,-15.1,-39.5,0
20,20,3,9,0.5,0.451,0.227,2.4,12.7,7.5,8,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011,-3.2,-1,-4.2,-0.9
28,35,2,15.2,0.639,0.617,0.297,0.7,9.7,5.2,10.8,0.6,0.5,9.5,20.1,3.2,0.6,3.8,0.124,2.1,-1.6,0.5,0.9
19,20,5,15.3,0.505,0.399,0.218,7,19.9,13.2,11.2,1.8,3.7,7.6,24,0.2,0.6,0.8,0.074,-1.6,-0.3,-1.9,0
39,26,2,11.9,0.526,0.372,0.221,2.7,9.2,5.9,14.5,1.5,1.9,12.9,20.9,0.2,1.6,1.9,0.059,-1.6,-0.2,-1.8,0.1
40,27,2,10.4,0.538,0.536,0.207,1.8,8.8,5.3,9.5,1.4,0.6,6.8,15,1.3,0.9,2.3,0.076,-1.9,-0.4,-2.3,-0.1
41,25,3,12.8,0.68,0.884,0.092,0.5,11.1,6.1,7,0.9,0.8,8.5,15.7,3.4,1.5,4.9,0.118,1.3,-0.9,0.4,1.2
15,26,3,13.1,0.574,0.335,0.146,4.6,11.9,8.1,8.8,1.4,0.8,8.5,16.6,1.5,0.6,2.1,0.067,-0.5,-1.2,-1.7,0.1
39,26,3,14.9,0.594,0.296,0.127,5.8,10.7,8.3,7.1,1.7,0.7,3.8,14.8,0.5,0.2,0.7,0.146,-0.2,-0.9,-1.1,0.1
44,22,2,4.8,0.423,0.493,0.14,1.1,11.7,6.5,12.7,1.3,1.5,15.3,14.9,-0.6,0.6,0,-0.001,-5.4,0.6,-4.8,-0.3
24,22,2,9.4,0.523,0.483,0.146,1.4,16.2,8.5,8.8,1.5,1.7,9.5,14.3,0.1,0.1,0.2,0.032,-2.3,-0.4,-2.7,-0.1
24,22,1,8.2,0.542,0.417,0,2.2,9.4,5.6,18.6,0,1.8,20,12.7,0,0,0,0.006,-2.6,-3.1,-5.7,0
21,21,5,23.5,0.726,0,0.434,13.7,18.8,16.2,3.9,1.8,8,8.3,13.3,4.8,2,6.8,0.23,1.6,1.3,3,1.8
40,21,3,-7.7,0,0,0,0,19.5,10.1,0,0,0,50,8,-0.1,0,0,-0.19,-12,-3.5,-15.5,0
50,33,1,12.4,0.494,0.381,0.125,2.6,12.9,7.9,32.8,1.9,0.2,20.8,18.7,0.1,1.3,1.5,0.073,-1.1,0,-1.2,0.2
20,31,1,21.1,0.555,0.195,0.185,2.3,8.3,5.3,40.5,1.5,1,13.4,31.6,1.9,0.6,2.5,0.092,4,-1.7,2.2,1.4
30,28,2,14.1,0.548,0.586,0.206,0.8,12.3,6.3,6.8,2,1.1,6.8,22.7,1,1.9,2.9,0.079,-0.1,-0.4,-0.4,0.7
23,25,1,14.9,0.553,0.45,0.202,2.4,11.8,7,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3,0.067,0.8,-1.3,-0.4,0.8
26,29,1,16.4,0.534,0.309,0.343,2.5,13.9,8.1,39.9,2.4,0.4,18.2,20.2,2.5,1.8,4.3,0.112,0.6,0.2,0.8,1.3
15,23,1,19.1,0.558,0.506,0.227,1.4,11.4,6.2,36,1.4,0.8,12.6,32.2,0.9,0.4,1.3,0.059,4.5,-1.9,2.6,1.2
19,23,1,17.6,0.553,0.521,0.261,0.8,14.5,7.4,33.1,2,0.8,16.4,29.5,0.2,0.3,0.5,0.064,1.8,-1.7,0.2,0.2
39,23,5,20.7,0.586,0.079,0.349,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,4.2,3.3,7.5,0.167,2.1,1.1,3.2,2.9
27,20,4,-3.4,0,0.5,0,0,18,9,28.8,0,0,0,14.5,-0.1,0,-0.1,-0.25,-7.4,-4.5,-11.9,0
39,26,3,11.4,0.59,0.149,0.23,5.3,14.6,10,4.2,1.4,2.2,8.6,12.8,0.4,0.4,0.8,0.107,-3,0.7,-2.3,0
26,25,4,13.4,0.578,0.456,0.212,6.6,20.2,13.3,11,1.1,0.9,12.7,17.3,1.6,1.2,2.8,0.093,-0.4,-0.4,-0.8,0.5
22,28,1,13.5,0.533,0.361,0.22,4.3,11,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,0.09,-1,-0.2,-1.2,0.4
24,22,3,6.4,0.502,0.623,0.169,2.1,11.5,6.6,6.1,1.3,0.9,7.8,12.5,0,0.1,0.1,0.014,-4.5,-1.1,-5.6,-0.3
40,26,1,16.7,0.574,0.338,0.246,1.1,11.7,6.6,21.5,1.1,0.6,13.4,27.3,1.9,1.7,3.5,0.086,1.1,-1.2,-0.2,0.9
39,31,4,10.2,0.539,0.639,0.094,5.7,16.5,11.1,5.9,0.8,0.4,6.7,13.7,1,1,2.1,0.089,-1.2,-1.1,-2.3,-0.1
40,35,4,9.5,0.487,0.593,0.088,5,17.4,11.2,7.4,2.6,2.4,13.7,10.4,0.1,0.6,0.7,0.072,-2.7,1.6,-1.1,0.1
19,21,2,16.3,0.56,0.235,0.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.2,0.3,2.5,0.057,0.3,-2.1,-1.8,0.1
44,22,2,8.8,0.59,0.764,0.187,0.5,6.5,3.6,8.9,0.7,0.6,9,13.4,1.5,1.1,2.6,0.094,-1.6,-0.3,-1.9,0
39,24,2,-2,0.3,0.6,0,0,33.1,16.6,13.4,0,0,16.7,25.9,-0.1,0,0,-0.226,-8.7,-2.6,-11.3,0
30,29,2,5.3,0.403,0.516,0.109,3.9,10.5,7.3,6.8,2.4,0.7,13,13.4,-0.3,0.3,0,-0.002,-6.4,0.8,-5.6,-0.2
46,25,4,18.6,0.556,0.319,0.273,3.3,18.8,11.2,17,1.4,2.6,10.4,28.3,2,3.3,5.3,0.133,1.7,0.6,2.3,2.1
41,23,4,17.2,0.663,0.029,0.71,20.7,19.3,20,10.1,1.4,5.8,25.5,17.5,0.7,0.5,1.1,0.178,-3.4,0.9,-2.5,0
39,23,1,20.7,0.607,0.01,0.46,6.3,18.2,12.2,34.3,2.9,1.4,20.5,20.9,3.9,3.2,7,0.171,1.4,2.3,3.8,2.9
29,20,2,9.3,0.506,0.417,0.175,1.9,8.9,5.5,9.4,0.9,0.6,9.7,19,0.1,0.2,0.3,0.01,-2.5,-1.8,-4.4,-0.8
15,19,4,14.5,0.61,0.325,0.475,7.5,13.7,10.5,14.3,1,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.3,-0.8,-2.1,0
43,25,2,14.2,0.525,0.582,0.21,2.5,10.1,6.4,20.8,2.4,1.4,11.7,19.4,1.8,2.5,4.2,0.116,0.3,1.3,1.6,1.6
21,22,1,7.5,0.399,0.256,0.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,-1.3,0.5,-0.9,-0.079,-5.2,-0.9,-6.1,-0.6
24,31,1,13.8,0.511,0.254,0.117,1.9,11.8,6.6,26.1,1.5,1.3,11.3,18.5,1.3,0.4,1.7,0.051,-0.3,-1.1,-1.4,0.2
50,34,2,-7.1,0,0.5,0,0,6.7,3.4,0,3,0,33.3,7.9,-0.1,0,0,-0.139,-13.6,2.1,-11.5,0
39,20,2,1.1,0.313,0.273,0.364,0,6.9,3.5,8.3,4.6,0,13.6,19.9,-0.1,0.1,-0.1,-0.118,-10.8,0.8,-10,-0.1
20,28,3,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.1,-0.6,-1.8,0.1
15,22,4,14.4,0.551,0.373,0.312,9.1,18,13.4,8.1,1.8,2.4,13.9,18.8,0.5,0.7,1.2,0.065,-0.7,-1,-1.7,0.1
22,23,2,30.7,0.727,0.333,0.333,17.5,0,9.2,0,0,0,0,24.4,0,0,0,0.317,5.4,-1,4.4,0
39,24,1,9.4,0.477,0.354,0.15,3.1,8.3,5.7,14.7,2,2,13.6,17.1,-0.2,0.4,0.2,0.032,-3.8,0.2,-3.6,-0.1
28,22,4,0,0.512,0,0.5,9.6,25.1,17.2,11.6,2.1,8.3,55.1,20.6,-0.1,0,-0.1,-0.176,-14.6,3.4,-11.2,-0.1
29,22,4,8.3,0.605,0.047,0.349,10,26.3,18.2,14.2,0.4,1.6,38.5,12.9,-0.1,0.2,0.1,0.022,-5.5,0,-5.6,-0.2
43,21,4,19.9,0.556,0.375,0.248,3.2,18.7,11,14,2,2.4,9.6,28.5,2.6,3.4,6,0.14,3.1,0.5,3.7,3
19,31,1,16,0.578,0.269,0.444,1.6,8.5,4.9,32.5,1.2,1.1,16.4,20.2,1.7,0.4,2.1,0.108,0.6,-1.2,-0.6,0.3
20,31,1,12.2,0.512,0.182,0.321,2.5,8.8,5.6,27.3,1.7,1,17.5,18.3,0.2,0.2,0.4,0.035,-1.6,-1.5,-3.1,-0.2
30,33,2,10.1,0.505,0.658,0.138,1.9,10.6,6.3,13,1.3,1.4,9.7,16.5,0.4,1.6,2,0.06,-1.6,0.3,-1.3,0.3
43,27,5,18.1,0.624,0.22,0.273,10.2,19.4,14.9,10,1.2,5.1,10.2,14.9,3.6,2.4,5.9,0.202,0.4,1.8,2.2,1.5
24,30,1,11.6,0.531,0.444,0.178,1.3,7.1,4,23.2,0.7,0.6,14.4,24.1,0.1,-0.1,0,0.001,-0.5,-3.9,-4.4,-0.6
20,23,2,3.2,0.453,0.824,0.235,1.8,0,0.9,6.7,2.4,0,13.8,15.6,-0.1,0,0,-0.038,-6.1,-1.8,-7.9,-0.1
46,25,2,13.2,0.639,0.673,0.088,2.3,13.6,8.1,7.8,1.2,0,9.3,17,0.5,0.4,0.9,0.133,0.7,0.3,1,0.3
19,28,5,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14,18.3,2,1.1,3.1,0.085,-0.2,-1.3,-1.5,0.2
39,22,2,9.7,0.531,0.606,0.174,3.5,5,4.3,8.2,3.5,3,15,11.5,0.2,1.8,2,0.084,-3,3.1,0.1,0.6
29,34,4,7.6,0.515,0.761,0.162,5.1,15.3,10.3,6.6,0.7,1.4,14.3,11.2,0.2,0.2,0.4,0.033,-2.4,-0.9,-3.3,-0.2
28,34,4,0.3,0.252,0.882,0.118,2.7,12.7,7.6,4.6,2.4,1.2,18.3,11.6,-0.2,0.1,-0.2,-0.099,-7.8,-0.9,-8.8,-0.1
32,34,4,7,0.582,0.833,0.25,1,11.2,6.2,3.4,1.3,0.8,15.8,11.9,0,0.1,0.1,0.033,-2.9,0.1,-2.8,0
15,26,3,9.4,0.529,0.365,0.079,3.5,17.8,10.4,13.8,2.3,1.7,19.7,12.7,-0.1,0.2,0.2,0.03,-3.9,0.4,-3.5,-0.1
19,24,5,26.5,0.642,0.445,0.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,3.8,1.3,5.1,0.205,7,0.8,7.8,2.9
29,21,2,12.1,0.562,0.575,0.115,1.9,6.5,4.3,6.6,1.7,1.1,4.8,15.4,1.4,0.3,1.7,0.076,-0.3,-0.6,-0.9,0.3
21,24,1,14.5,0.62,0.5,0.406,2.1,8.7,5.3,14.8,0.5,1.3,15,21.4,0.5,0.1,0.5,0.087,1,-1.5,-0.5,0.1
40,34,4,8.7,0.583,0.69,0.122,4.7,16.2,10.4,5.9,1.5,1.2,14.4,8.6,1.8,2.2,4,0.086,-2.2,0.6,-1.6,0.2
42,22,2,4.5,0.473,0.3,0.25,2.7,13.8,8.5,3.3,0.6,0,15.3,13.7,-0.1,0.1,0,-0.012,-6.6,-1.3,-7.8,-0.1
20,31,1,6.8,0.424,0.075,0.209,3.4,13,8.2,20.6,1.7,2.7,26.2,16.4,-0.5,0.1,-0.3,-0.064,-4.9,-0.7,-5.6,-0.2
39,23,5,14.8,0.564,0.441,0.276,4.9,19.3,12.1,5.1,1.2,6.5,10.5,17.4,1.1,2.7,3.8,0.111,-0.9,1.1,0.2,0.9
32,26,3,-0.1,0.254,0.571,0.286,7.7,0,3.8,0,3.3,0,0,23.4,-0.1,0,0,-0.168,-11,-2.5,-13.5,0
32,27,5,22.5,0.635,0.121,0.266,12.5,32,22.4,10.3,0.7,3.6,12.9,21.4,4,2.3,6.3,0.183,2.3,0.1,2.3,1.8
22,26,3,13.1,0.511,0.578,0.034,1.9,15.5,8.4,14.2,2.6,1.2,9.8,23.3,-0.1,0.6,0.5,0.048,-0.7,0.2,-0.5,0.2
43,20,3,7.2,0.714,0,0,8.1,13.6,10.9,6.6,3.6,2.3,50,14.8,-0.1,0.1,0,-0.037,-7.1,1.1,-6,0
19,20,4,11.1,0.532,1,2,0,21.9,10.6,0,0,0,0,15.5,0,0,0,0.104,-2.8,-2.8,-5.6,0
46,25,1,15.9,0.546,0.485,0.233,1.1,9.8,5.6,27.8,2.5,0.8,12.6,21.8,2.3,2.8,5,0.137,1.1,1.3,2.4,1.9
41,23,1,1.2,0.316,0.842,0,0,7.7,4,9.9,1.2,0,0,20,-0.1,0,-0.1,-0.105,-6.7,-2.9,-9.6,-0.1
19,24,5,15.3,0.605,0.163,0.326,10,25.9,17.6,10.8,1.5,1.4,16.2,13.9,0.5,0.3,0.9,0.123,-1.4,0.4,-1,0.1
43,24,4,23.2,1.025,0.25,0.5,16.7,27.9,22.3,7.5,0,0,29.1,14.9,0.1,0,0.1,0.198,4.8,-1.2,3.6,0
30,29,5,21.8,0.543,0.274,0.164,7.6,29.3,18.1,20.1,1.3,2.4,7.4,25.8,3.1,2.6,5.7,0.152,3.4,0.6,4,2.7
19,23,4,13.9,0.744,0.308,0.077,4.6,25.3,14.9,4,1.4,4.8,18.2,9.9,0.1,0.1,0.2,0.104,-1.7,0.5,-1.2,0
24,22,5,16.2,0.663,0.29,0.355,7.6,22.7,14.9,9.9,1.4,2.1,17.6,18.7,1.3,0.5,1.7,0.115,-1.4,-0.4,-1.9,0
41,28,2,13.5,0.53,0.654,0.038,0,28.2,14.7,12.4,0,4.7,10.2,30.9,-0.1,0.1,0,0,2.4,-0.6,1.8,0
50,28,2,14,0.526,0.571,0.095,2.6,12.4,7.6,13.8,0,4.1,4.4,22.5,0.1,0.1,0.1,0.119,1.7,2.1,3.8,0.1
