Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
287,Courtney Lee\leeco01,SG,34,DAL,24,9,345,5.6,11.5,0.488,2.9,6.6,0.447,2.7,4.9,0.543,0.8,1,0.857,1,3.5,4.5,1.7,2.5,0.8,1.5,4.6,15
288,Damion Lee\leeda03,SG,27,GSW,49,36,1423,7.2,17.2,0.417,2.9,8,0.356,4.3,9.1,0.471,3.7,4.2,0.873,1.1,7,8,4.5,1.7,0.2,2.3,3.9,20.9
289,Alex Len\lenal01,C,26,TOT,49,9,895,8.8,15.8,0.556,0.7,2.9,0.25,8.1,12.9,0.626,3,4.8,0.637,5,10.4,15.4,2.5,1.2,2.4,2.6,6,21.4
289,Alex Len\lenal01,C,26,ATL,40,9,745,8.9,16.3,0.546,0.9,3.5,0.25,8,12.8,0.627,3.2,5.1,0.63,4.3,10.1,14.4,2.6,1.3,2.1,2.4,5.8,21.8
289,Alex Len\lenal01,C,26,SAC,9,0,150,8.4,13.6,0.619,0,0,,8.4,13.6,0.619,2.3,3.2,0.7,8.4,12.3,20.8,1.6,0.6,4.2,3.6,6.8,19.2
290,Kawhi Leonard\leonaka01,SF,28,LAC,53,53,1703,13.5,29,0.467,3.1,8.4,0.371,10.4,20.7,0.505,9.2,10.4,0.888,1.4,9.1,10.6,7.3,2.6,0.9,4,2.8,39.4
291,Meyers Leonard\leoname01,C,27,MIA,49,49,987,5.7,11.1,0.52,2.5,5.9,0.429,3.2,5.2,0.625,0.8,1.3,0.654,1.3,11,12.3,2.6,0.6,0.7,1.7,5.1,14.9
292,Caris LeVert\leverca01,SG,25,BRK,40,26,1159,10.6,25.6,0.414,2.9,7.9,0.373,7.7,17.7,0.432,4.9,6.8,0.721,1.7,4.9,6.6,6.8,1.8,0.3,4.2,2.9,29
293,Damian Lillard\lillada01,PG,29,POR,59,59,2185,11.8,25.8,0.457,5,12.7,0.392,6.8,13.1,0.52,8.6,9.7,0.886,0.7,4.9,5.6,10.1,1.3,0.5,3.7,2.2,37.2
294,Nassir Little\littlna01,PF,19,POR,48,5,573,5.4,12.6,0.43,1.2,4.9,0.237,4.2,7.7,0.554,2.3,3.7,0.636,2.6,6.4,9,1.8,1.1,1.2,1.2,6,14.3
295,Kevon Looney\looneke01,C,23,GSW,20,4,262,5.3,14.4,0.367,0.2,2.6,0.071,5.1,11.9,0.431,1.6,2.2,0.75,5.1,6.9,12.1,3.7,2.2,1.1,2.2,6.2,12.4
296,Brook Lopez\lopezbr01,C,31,MIL,62,61,1651,6.9,16.1,0.427,2.4,8,0.298,4.5,8.1,0.555,2.8,3.5,0.816,1.2,6.5,7.6,2.6,1.2,4.3,1.8,4.2,18.9
297,Robin Lopez\lopezro01,C,31,MIL,61,4,876,7.3,14.5,0.505,1.8,5.1,0.347,5.5,9.3,0.592,1.3,2.3,0.556,2.7,5,7.7,2.2,0.5,2.1,2.9,4.3,17.7
298,Kevin Love\loveke01,PF,31,CLE,56,56,1780,8.9,19.9,0.45,4,10.7,0.374,4.9,9.2,0.537,5.1,6,0.854,1.5,13.5,15,4.9,0.9,0.5,3.8,2.5,27
299,Kyle Lowry\lowryky01,PG,33,TOR,53,53,1936,7.8,18.6,0.419,3.9,10.9,0.358,3.9,7.8,0.503,6.6,7.7,0.859,0.8,5.8,6.5,10,1.7,0.5,3.9,4.2,26.1
