Tm,Win,Pos,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
UTA,42,2,3,15.2,0.197368421,3,9.1,0.32967033,0,6.1,0,0.296052632,0,0,0,3,9.1,12.2,0,3,3,3,0,9.1,63,102
CLE,19,3,6.8,15.5,0.438709677,3.1,8.2,0.37804878,3.6,7.3,0.493150685,0.538709677,1.6,2.4,0.666666667,1,4.9,5.9,3.9,1.4,0.4,2.3,4.1,18.3,107,117
PHO,26,3,9.1,20.2,0.45049505,2.6,7.5,0.346666667,6.5,12.7,0.511811024,0.514851485,4.7,6,0.783333333,1.6,7.2,8.8,2.1,1.7,1,2,4.7,25.6,109,111
PHO,26,4,3.2,15.8,0.202531646,0,6.3,0,3.2,9.5,0.336842105,0.202531646,6.3,6.3,1,6.3,3.2,9.5,0,3.2,0,0,3.2,12.6,95,111
GSW,15,1,12,23.9,0.50209205,3.3,7.6,0.434210526,8.7,16.3,0.533742331,0.571129707,0,1.1,0,1.1,2.2,3.3,8.7,1.1,0,4.4,8.7,27.2,103,119
ATL,20,4,11,21.9,0.502283105,1.7,6.4,0.265625,9.3,15.5,0.6,0.54109589,3,4,0.75,3,7.6,10.6,3.2,2.3,0.8,3.3,5.2,26.7,106,113
SAC,28,4,3.2,19.5,0.164102564,0,3.2,0,3.2,16.2,0.197530864,0.164102564,6.5,6.5,1,0,13,13,6.5,0,0,0,3.2,13,81,113
ATL,20,3,4.3,15.5,0.277419355,3.5,12.1,0.289256198,0.9,3.5,0.257142857,0.390322581,0,0,0,0.9,5.2,6,2.6,3.5,0.9,2.6,2.6,12.1,77,112
GSW,15,4,9.2,18.5,0.497297297,1.1,3.7,0.297297297,8.1,14.8,0.547297297,0.527027027,4.7,6.1,0.770491803,2.4,5.6,8,3.7,0.9,0.4,2.7,3.6,24.2,110,117
WAS,24,5,6.5,12.2,0.532786885,0,0.2,0,6.5,12,0.541666667,0.532786885,3.7,6.2,0.596774194,4.5,6.9,11.4,2,0.9,1.4,2.5,7.5,16.6,110,116
LAC,44,4,5.7,14.2,0.401408451,4.1,10.7,0.38317757,1.6,3.5,0.457142857,0.545774648,2,2.5,0.8,2.2,7.1,9.3,2.5,0.4,0.2,1.3,3.3,17.5,118,110
OKC,40,5,8.1,20.3,0.399014778,2,8.1,0.24691358,6.1,12.2,0.5,0.448275862,0,0,0,2,8.1,10.1,4.1,0,0,4.1,8.1,18.3,86,113
OKC,40,1,9.6,19.6,0.489795918,2.4,6.7,0.358208955,7.2,12.9,0.558139535,0.551020408,5.5,6.1,0.901639344,0.5,7.1,7.6,10.4,2.4,0.2,3.4,3.4,27.2,121,108
NYK,21,1,7.5,17.2,0.436046512,0.5,2.7,0.185185185,7,14.5,0.482758621,0.450581395,1.9,3.4,0.558823529,2,6.3,8.3,12.6,2.7,0.7,3.8,3.5,17.5,105,111
WAS,24,1,5.2,12.5,0.416,1.4,5,0.28,3.8,7.6,0.5,0.472,0.4,0.9,0.444444444,2.8,5.8,8.6,5.2,3.6,0.8,2.2,5.8,12.2,103,112
PHI,39,5,4.9,9.5,0.515789474,0,0,0,4.9,9.5,0.515789474,0.515789474,1.6,3.3,0.484848485,4.4,12,16.4,1.9,0.3,6.8,3.5,10.6,11.5,96,101
BRK,30,2,5.8,20.1,0.288557214,1.9,10.4,0.182692308,3.9,9.7,0.402061856,0.335820896,1.9,2.1,0.904761905,1.3,5.7,7,7.3,2.2,0.5,4.3,4.5,15.6,81,108
DEN,43,5,8.4,13.6,0.617647059,0,0.2,0,8.4,13.4,0.626865672,0.617647059,4,7.5,0.533333333,4.9,10.6,15.5,6.8,1.6,1.8,4,6.9,20.9,117,107
SAS,27,5,6.6,10.8,0.611111111,0,0,0,6.6,10.8,0.611111111,0.611111111,1.8,3.7,0.486486486,5.2,10,15.2,5.1,1.5,4.1,2.2,4.8,15.1,125,108
BOS,43,5,6.8,14,0.485714286,0.4,0.8,0.5,6.4,13.1,0.488549618,0.5,2.5,3,0.833333333,4.2,10.2,14.4,3,0.8,2.5,2.5,9.7,16.5,111,105
TOR,46,1,13,21.7,0.599078341,4.3,8.7,0.494252874,8.7,13,0.669230769,0.698156682,8.7,8.7,1,0,4.3,4.3,8.7,0,4.3,0,8.7,39,164,107
GSW,15,2,6.3,18.9,0.333333333,2.8,10,0.28,3.5,8.9,0.393258427,0.407407407,3.6,4.5,0.8,0.3,4.1,4.4,5,1.3,0.4,2.8,3.5,18.9,91,117
CLE,19,3,7.8,17.6,0.443181818,2.2,6.6,0.333333333,5.6,11,0.509090909,0.505681818,3.1,4.2,0.738095238,0.9,5.9,6.8,4.6,1.9,0.6,3.9,5.7,20.9,99,115
DEN,43,4,10.3,21,0.49047619,3.2,7.8,0.41025641,7.1,13.2,0.537878788,0.566666667,2.4,3.1,0.774193548,3.8,10.4,14.2,2.7,1.4,1.4,2.7,5.7,26.2,113,108
CHI,22,3,9,20.4,0.441176471,3.5,9,0.388888889,5.5,11.4,0.48245614,0.526960784,2.8,3.9,0.717948718,1.9,5.1,7,3.6,2.2,0.9,1.6,4.5,24.3,112,110
NYK,21,5,9.3,20.6,0.451456311,2.3,6.5,0.353846154,6.9,14.1,0.489361702,0.507281553,2.5,3.3,0.757575758,2.8,9,11.8,3.4,1.1,0.6,2.6,3.8,23.3,107,113
DAL,40,4,10.4,24.6,0.422764228,3.8,10.9,0.348623853,6.6,13.7,0.481751825,0.5,5.5,7.1,0.774647887,2.7,12.1,14.7,2.7,1.1,3.2,2.5,4.8,30.1,110,106
DAL,40,5,6.7,10.4,0.644230769,0.5,1.8,0.277777778,6.2,8.7,0.712643678,0.668269231,3.4,5.1,0.666666667,3.4,6.9,10.3,2.7,1.5,1,1.6,4.6,17.1,134,111
TOR,46,2,9.7,19.5,0.497435897,3.5,8.9,0.393258427,6.2,10.6,0.58490566,0.587179487,4.1,4.9,0.836734694,0.8,5.1,5.9,2.9,2.1,0.6,2.4,3.5,26.9,115,106
GSW,15,1,0,4.8,0,0,2.4,0,0,2.4,0,0,6,7.2,0.833333333,0,2.4,2.4,6,2.4,0,0,3.6,6,113,116
NYK,21,4,10.8,23.5,0.459574468,1.5,5.4,0.277777778,9.3,18.1,0.513812155,0.491489362,6,8.2,0.731707317,3.5,11,14.6,4.6,1.2,0.5,4.5,4.2,29.2,105,112
DAL,40,2,0,48.3,0,0,0,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
ATL,20,3,6.4,16.6,0.385542169,2.5,7.5,0.333333333,3.9,9.1,0.428571429,0.460843373,3,3.8,0.789473684,1.1,5.4,6.5,2.6,1.9,0.8,2.9,4,18.3,95,115
NOP,28,2,8.2,18.2,0.450549451,5.1,11.2,0.455357143,3.1,7,0.442857143,0.590659341,4.9,5.4,0.907407407,0.3,4.2,4.5,3.5,0.6,0.3,2.2,2.8,26.4,122,116
MIN,19,5,9.4,22.8,0.412280702,3,9.1,0.32967033,6.4,13.7,0.467153285,0.478070175,3.5,5,0.7,3.2,8.4,11.6,3.3,1.8,2.1,2.1,7.8,25.2,105,110
PHI,39,2,8,18.7,0.427807487,2.3,6.9,0.333333333,5.7,11.7,0.487179487,0.489304813,3.3,4.1,0.804878049,1.2,4,5.2,4.8,1.5,1.1,3,4,21.5,103,110
HOU,40,2,6.1,14.4,0.423611111,2.7,7.7,0.350649351,3.3,6.7,0.492537313,0.517361111,2,3,0.666666667,0.8,3.9,4.7,3.2,1.4,0.3,1.1,3.7,16.9,113,114
MIA,41,3,7.2,15.3,0.470588235,6.1,13.6,0.448529412,1.1,1.8,0.611111111,0.669934641,1.3,1.4,0.928571429,0.2,5.1,5.3,2.3,0.9,0.4,1.5,4.4,21.7,122,113
GSW,15,3,7.7,16,0.48125,2.1,5.4,0.388888889,5.6,10.6,0.528301887,0.546875,2,2.3,0.869565217,2.1,5.1,7.1,2.7,1.4,0.4,1.6,2.6,19.5,112,116
PHI,39,3,7.9,15.2,0.519736842,1.3,4.5,0.288888889,6.6,10.7,0.61682243,0.5625,1.9,1.9,1,2.6,4.7,7.3,2.4,1.7,0.4,0.6,3.2,19,126,110
LAC,44,2,4.6,13.5,0.340740741,1.9,6.6,0.287878788,2.7,6.8,0.397058824,0.411111111,1.1,1.9,0.578947368,0.5,5.4,5.9,4.6,1.3,0.8,2.6,5.4,12.1,87,109
WAS,24,2,5.5,13.7,0.401459854,2.5,6.6,0.378787879,3.1,7.1,0.436619718,0.49270073,1.7,2,0.85,0.6,6.6,7.2,3.1,1.5,0.9,1.5,4.8,15.2,105,116
WAS,24,1,4.8,11.4,0.421052632,2.9,4.8,0.604166667,1.9,6.7,0.28358209,0.548245614,0,0,0,1,3.8,4.8,6.7,0,1,2.9,1.9,12.4,105,121
NYK,21,5,8.7,11.8,0.737288136,0,0,0,8.7,11.8,0.737288136,0.737288136,2.9,5.1,0.568627451,6.4,8.3,14.8,1.2,1.8,4.1,1.3,6.7,20.3,144,107
OKC,40,3,0,4.4,0,0,0,0,0,4.4,0,0,0,0,0,0,8.9,8.9,0,0,0,4.4,4.4,0,0,113
LAL,50,1,6.6,15.9,0.41509434,2,6,0.333333333,4.6,9.8,0.469387755,0.477987421,1.3,2,0.65,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,103,108
DET,20,1,14,28.5,0.49122807,1.7,5.6,0.303571429,12.3,23,0.534782609,0.521052632,4.6,5.3,0.867924528,1,3.6,4.6,10.5,1.5,0.6,4.8,1.9,34.3,109,115
ORL,30,2,8.9,21.9,0.406392694,4.6,12.8,0.359375,4.4,9.1,0.483516484,0.511415525,3.8,4.5,0.844444444,0.4,5.4,5.8,2.1,2,0.6,1.7,2.7,26.2,106,110
CHO,23,1,9.2,21.8,0.422018349,4,9.8,0.408163265,5.2,12,0.433333333,0.513761468,3.8,4.4,0.863636364,1.2,5.2,6.4,6,1.4,0.2,3.3,2.9,26.3,108,115
PHO,26,1,6.6,16,0.4125,1.7,4.9,0.346938776,4.9,11,0.445454545,0.465625,4.7,5.5,0.854545455,1.1,5.8,6.9,13.3,2.4,0.2,4.1,3.8,19.6,112,111
GSW,15,1,12.3,28.7,0.428571429,5.4,14.5,0.372413793,6.9,14.2,0.485915493,0.522648084,5.1,6.5,0.784615385,0.6,4.9,5.5,9.3,1.4,0.4,4.6,2.9,35.2,106,116
MIN,19,1,10.3,25,0.412,4.5,13,0.346153846,5.8,12,0.483333333,0.502,5.7,6.5,0.876923077,0.4,6.2,6.5,9.4,2,0.5,5.4,2.6,30.8,105,113
IND,39,5,10.3,19.1,0.539267016,0.4,1.5,0.266666667,9.9,17.6,0.5625,0.54973822,4.8,6.7,0.71641791,4.3,13.1,17.4,7,1.1,0.7,3.8,4.4,25.9,115,106
SAS,27,4,0,16,0,0,8,0,0,8,0,0,0,0,0,0,8,8,12,0,0,0,0,0,43,118
IND,39,3,6.8,11.8,0.576271186,0.3,1.8,0.166666667,6.5,10,0.65,0.588983051,1.5,2.7,0.555555556,2.3,6.5,8.8,1.5,1.4,1.2,1.2,6.4,15.3,116,109
PHO,26,4,7.1,15.3,0.464052288,2.4,7,0.342857143,4.7,8.3,0.56626506,0.54248366,2.7,3.3,0.818181818,2.9,8.4,11.3,3.6,1.1,0.5,2.4,4.4,19.4,112,112
CHI,22,1,6.1,14.1,0.432624113,1.6,5.1,0.31372549,4.4,9,0.488888889,0.489361702,2.7,3.1,0.870967742,1.9,4.6,6.5,9.1,2.1,0.2,3.3,3.5,16.5,111,112
WAS,24,3,4.7,12.1,0.388429752,2.2,7.5,0.293333333,2.5,4.5,0.555555556,0.479338843,1.4,2,0.7,0.9,4.7,5.6,2.2,1.3,0.5,1.1,6.7,13,103,118
OKC,40,1,11,23.5,0.468085106,3,7.9,0.379746835,8,15.6,0.512820513,0.531914894,4.8,5.8,0.827586207,0.5,5.3,5.8,6.4,1.1,0.3,4,3.5,29.9,108,112
PHI,39,4,5.6,13.8,0.405797101,3.2,8.9,0.359550562,2.5,5,0.5,0.52173913,1.1,1.3,0.846153846,2.5,7.2,9.8,2.1,0.8,0.2,1,3.7,15.5,113,111
HOU,40,4,3.9,9.7,0.402061856,1.6,5.7,0.280701754,2.3,3.9,0.58974359,0.484536082,0.3,0.9,0.333333333,2.2,7.7,9.9,2.7,2.6,1.3,1.6,4.6,9.8,104,108
CLE,19,2,11.6,24.7,0.469635628,2.2,5.8,0.379310345,9.4,18.9,0.497354497,0.51417004,5.1,6.1,0.836065574,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,108,118
LAC,44,2,5.2,12.8,0.40625,3.8,9.8,0.387755102,1.5,3,0.5,0.5546875,2.1,2.4,0.875,0.2,3.1,3.3,3.1,0.7,0.3,1.4,4.7,16.3,117,112
PHI,39,2,4.9,24.3,0.201646091,4.9,14.6,0.335616438,0,9.7,0,0.302469136,0,0,0,0,14.6,14.6,4.9,0,0,4.9,0,14.6,61,110
BRK,30,2,4.1,12.6,0.325396825,1.6,6.5,0.246153846,2.6,6.1,0.426229508,0.388888889,0.8,1.4,0.571428571,1.8,4.9,6.7,2.4,2.4,0.4,2,4.1,10.6,85,109
TOR,46,4,11.5,25.3,0.454545455,2.9,8.1,0.358024691,8.6,17.2,0.5,0.511857708,5.5,6.9,0.797101449,1.5,8.7,10.1,4.8,1.4,1.3,3.3,3.8,31.5,108,105
MIA,41,4,6.9,11,0.627272727,0,0.3,0,6.9,10.7,0.644859813,0.627272727,5.4,7.8,0.692307692,8.6,8.8,17.4,3.3,1.4,2.9,4.9,12.7,19.1,120,106
PHI,39,1,9.1,15.6,0.583333333,0,0.1,0,9.1,15.4,0.590909091,0.583333333,4.5,7.2,0.625,2.8,8,10.8,11,2.9,0.8,4.8,4.4,22.7,116,106
POR,29,2,7.2,17.9,0.402234637,2.5,7.5,0.333333333,4.7,10.4,0.451923077,0.472067039,2.6,3.1,0.838709677,0.9,4.2,5,3.2,0.9,0.3,2.1,4.5,19.5,102,118
GSW,15,4,6.9,13.8,0.5,1,4.5,0.222222222,5.9,9.3,0.634408602,0.536231884,5.5,6.5,0.846153846,3.4,5.9,9.3,4.5,1,1.4,3.8,4.8,20.3,112,115
BOS,43,2,6.8,17.7,0.384180791,3.6,10.3,0.349514563,3.2,7.4,0.432432432,0.485875706,3.1,3.7,0.837837838,1.1,4.6,5.7,7.1,2.4,0.7,2.6,3.9,20.3,110,107
NYK,21,1,6.5,19.1,0.340314136,1.5,4.9,0.306122449,5.1,14.2,0.35915493,0.379581152,2.4,4.8,0.5,1.9,5.2,7.1,8.9,2.5,0.7,5.3,5.9,17,84,112
WAS,24,1,7.9,17.5,0.451428571,1.6,4.4,0.363636364,6.3,13.1,0.480916031,0.497142857,1.4,2,0.7,0.8,4.8,5.6,8.5,1.5,0.7,2.3,2.5,18.8,109,117
LAL,50,2,0,5.9,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,3,0,3,8.9,0,0,107
PHI,39,2,4.6,16.7,0.275449102,0,4.6,0,4.6,12.1,0.380165289,0.275449102,3,6.1,0.491803279,0,3,3,3,4.6,0,3,6.1,12.1,65,105
DET,20,3,5.1,11.5,0.443478261,3.1,7.6,0.407894737,2,3.8,0.526315789,0.57826087,1,1,1,0.3,3.1,3.3,3.8,1,0.4,0.9,3,14.2,121,117
GSW,15,4,6.9,15.9,0.433962264,2.3,5.9,0.389830508,4.5,10,0.45,0.506289308,3.9,5,0.78,4.2,7.7,11.8,2.5,1.8,1.3,2.9,3.4,20,107,112
CHI,22,2,16.1,24.1,0.668049793,0,8,0,16.1,16.1,1,0.668049793,8,8,1,8,0,8,0,0,0,0,8,40.1,153,119
IND,39,1,6.4,15.4,0.415584416,1.4,5.4,0.259259259,5,9.9,0.505050505,0.461038961,1.5,2.3,0.652173913,1.4,3.7,5,5.3,2,1.1,2.6,4.9,15.6,97,109
SAC,28,4,4.2,8.5,0.494117647,0,0,0,4.2,8.5,0.494117647,0.494117647,2.1,4.2,0.5,4.2,10.6,14.8,4.2,2.1,4.2,12.7,16.9,10.6,61,103
POR,29,4,4.7,7.7,0.61038961,0,0.4,0,4.7,7.4,0.635135135,0.61038961,1.4,2.7,0.518518519,4.5,12.2,16.7,5.2,0.4,0.9,5.6,9.7,10.8,99,113
BOS,43,4,11.7,26.3,0.44486692,3.9,9.9,0.393939394,7.8,16.5,0.472727273,0.519011407,5.3,6.5,0.815384615,1.4,8.5,9.9,4.1,2,1.3,3.1,2.9,32.5,110,105
MIN,19,1,7.1,15.9,0.446540881,1.6,4.3,0.372093023,5.5,11.6,0.474137931,0.496855346,6.1,7.1,0.85915493,0.7,3.6,4.3,10.2,1.2,0.6,3.7,3.4,22,116,116
ATL,20,1,6.1,14.8,0.412162162,0.9,2.7,0.333333333,5.2,12.1,0.429752066,0.442567568,4.2,4.8,0.875,1.1,3.8,4.8,9,1.7,0.5,3.6,3.2,17.3,105,117
BRK,30,2,6,16,0.375,3.4,10.5,0.323809524,2.6,5.5,0.472727273,0.48125,1.7,2.2,0.772727273,0.8,5,5.8,4.3,1.3,0.8,1.8,2.9,17.1,104,111
BOS,43,5,7.6,13.5,0.562962963,1,3,0.333333333,6.6,10.5,0.628571429,0.6,2.8,3.7,0.756756757,4.6,8.8,13.4,3.3,1.2,2.6,1.7,7,18.9,129,105
WAS,24,1,8.8,21.5,0.409302326,3.9,9.5,0.410526316,4.8,12,0.4,0.5,3.1,3.8,0.815789474,0.6,2.9,3.4,7.4,0.7,0.3,3.9,3.9,24.6,103,121
DET,20,2,4,13.7,0.291970803,4,11.3,0.353982301,0,2.4,0,0.437956204,1.6,3.2,0.5,0.8,0,0.8,2.4,2.4,0,2.4,7.3,13.7,88,116
TOR,46,2,7.9,16.5,0.478787879,5.1,11.1,0.459459459,2.8,5.4,0.518518519,0.633333333,1,1.5,0.666666667,1,6.3,7.3,2.5,1.2,0,1.8,4.7,21.9,118,108
CLE,19,5,8.1,15.9,0.509433962,0.3,0.7,0.428571429,7.9,15.2,0.519736842,0.518867925,2.8,4.6,0.608695652,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,112,114
PHI,39,2,4.2,10.2,0.411764706,2.2,6.2,0.35483871,2,4,0.5,0.519607843,1.1,1.8,0.611111111,1.6,2.2,3.8,3,3.5,1.7,1.9,5.4,11.7,104,106
POR,29,4,3.7,10.1,0.366336634,2.6,7.7,0.337662338,1.1,2.4,0.458333333,0.495049505,1.1,1.6,0.6875,2.3,7.1,9.5,2.5,0.7,0.8,1.8,4.6,11.1,106,116
SAC,28,4,1.8,10.1,0.178217822,1.2,8.9,0.134831461,0.6,1.2,0.5,0.237623762,0.6,1.2,0.5,1.2,5.3,6.5,1.8,2.4,0.6,2.4,3.6,5.3,57,111
MEM,32,4,3.8,10.1,0.376237624,3.4,8.4,0.404761905,0.4,1.7,0.235294118,0.544554455,2.1,2.5,0.84,0.4,5,5.5,1.3,1.3,0.4,2.1,2.1,13,102,114
GSW,15,3,5.1,11.1,0.459459459,1.4,4,0.35,3.7,7,0.528571429,0.522522523,0.5,0.9,0.555555556,1.6,7.6,9.1,4.6,2.3,0.9,2.8,5.3,12.1,98,112
MIN,19,5,12.4,24.3,0.510288066,4.5,10.8,0.416666667,7.9,13.5,0.585185185,0.602880658,7,8.8,0.795454545,3.7,11.1,14.8,6,1.3,1.6,4.3,4.6,36.2,121,110
POR,29,2,6.8,15.7,0.433121019,3.6,9,0.4,3.2,6.7,0.47761194,0.547770701,1.4,1.8,0.777777778,0.9,3,3.9,2.3,1.7,0.6,0.8,3.2,18.6,116,117
NYK,21,1,8.5,17.7,0.480225989,3.2,8.9,0.359550562,5.4,8.9,0.606741573,0.570621469,5.7,7.2,0.791666667,1,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,115,118
HOU,40,4,3.4,7.8,0.435897436,2,5.4,0.37037037,1.4,2.4,0.583333333,0.564102564,0.8,1,0.8,2.1,7.1,9.2,2.2,1.5,0.7,1.4,4.4,9.6,117,111
UTA,42,2,5.2,11.6,0.448275862,0,3.5,0,5.2,8.1,0.641975309,0.448275862,1.7,2.9,0.586206897,1.2,6.4,7.5,1.2,0.6,0,2.3,4.1,12.2,88,112
ATL,20,1,4.6,12.4,0.370967742,0,0.9,0,4.6,11.5,0.4,0.370967742,2.2,2.6,0.846153846,1.5,5.6,7.1,7.1,1.7,1.5,4.8,3.7,11.5,84,115
IND,39,5,7,15.4,0.454545455,2.3,6.8,0.338235294,4.7,8.6,0.546511628,0.529220779,3.2,4.3,0.744186047,2.1,8.6,10.7,1.8,1.2,3.6,2,4.3,19.5,108,105
MEM,32,3,3.3,23.4,0.141025641,0,13.3,0,3.3,10,0.33,0.141025641,6.7,6.7,1,3.3,0,3.3,0,3.3,0,0,3.3,13.3,67,112
MEM,32,5,11,18.8,0.585106383,0.9,2.3,0.391304348,10.2,16.5,0.618181818,0.609042553,3.7,5,0.74,5.4,14.5,19.9,3.1,0.7,2,3.1,4.7,26.6,121,107
CHI,22,3,9.6,23.4,0.41025641,4.5,13.5,0.333333333,5,9.9,0.505050505,0.506410256,0.6,0.8,0.75,0.9,6.4,7.3,4.2,2.6,0.6,2.6,5,24.3,100,109
DEN,43,3,6,8.4,0.714285714,0,0,0,6,8.4,0.714285714,0.714285714,0,0,0,3.6,6,9.6,2.4,3.6,1.2,8.4,7.2,12,77,106
MIN,19,4,0,9.3,0,0,9.3,0,0,0,0,0,18.6,18.6,1,0,9.3,9.3,0,0,0,0,0,18.6,124,116
TOR,46,1,7.9,19.3,0.409326425,3.6,9.4,0.382978723,4.3,10,0.43,0.502590674,3.8,4.5,0.844444444,0.5,4.5,5,8.9,2.5,0.4,3.1,3.3,23.3,111,106
MIA,41,1,4.7,22.1,0.212669683,4.7,18.6,0.252688172,0,3.5,0,0.319004525,0,0,0,0,3.5,3.5,3.5,1.2,0,0,2.3,14,75,114
MIN,19,5,6.3,11.5,0.547826087,0.3,1.9,0.157894737,6,9.6,0.625,0.560869565,3.1,3.7,0.837837838,4.5,11,15.5,3.5,1.5,0.8,2.5,4.8,15.9,119,111
DEN,43,4,9.9,9.9,1,2.5,2.5,1,7.4,7.4,1,1.126262626,2.5,4.9,0.510204082,7.4,12.3,19.7,2.5,0,0,4.9,4.9,24.7,138,112
ORL,30,5,11.9,25.1,0.474103586,2.3,6.9,0.333333333,9.6,18.2,0.527472527,0.519920319,3.2,4.1,0.780487805,3.5,12.9,16.4,5.6,1.3,1.3,2.2,3.4,29.3,113,107
CLE,19,4,6.2,8.9,0.696629213,1.4,2.7,0.518518519,4.8,6.2,0.774193548,0.775280899,0,0.7,0,2.1,11,13,1.4,1.4,2.7,2.1,5.5,13.7,122,111
WAS,24,5,8.5,14.9,0.570469799,1.5,4.3,0.348837209,7.1,10.6,0.669811321,0.620805369,4.3,5.3,0.811320755,3.4,9.3,12.6,3.2,1.4,1.1,3.7,8.9,22.9,118,114
MIA,41,2,11.6,30.3,0.382838284,9.3,19.8,0.46969697,2.3,10.5,0.219047619,0.53630363,0,1.2,0,0,12.8,12.8,3.5,0,2.3,3.5,5.8,32.6,93,108
LAL,50,2,10,23.2,0.431034483,3.3,13.3,0.248120301,6.6,10,0.66,0.502155172,2.2,2.2,1,1.1,5.5,6.6,4.4,0,2.2,1.1,6.6,25.4,112,109
BOS,43,1,10.6,25.2,0.420634921,5,13.3,0.37593985,5.6,11.9,0.470588235,0.51984127,5.9,6.9,0.855072464,1,5.2,6.1,7.5,1.4,0.8,3.2,2.3,32.3,116,109
SAS,27,2,7.4,16.7,0.443113772,1.8,4.4,0.409090909,5.6,12.4,0.451612903,0.497005988,2.3,3.2,0.71875,1.2,5.9,7.1,3,1.7,0.8,2,4.2,18.9,102,114
ATL,20,2,4.1,12.8,0.3203125,0.3,4.4,0.068181818,3.8,8.4,0.452380952,0.33203125,3.2,5,0.64,0.9,5.5,6.4,3.8,2,0.3,2.9,5.5,11.6,80,115
BRK,30,3,7.1,18.9,0.375661376,3.7,11,0.336363636,3.4,7.9,0.430379747,0.473544974,1.8,2.3,0.782608696,1.3,8.5,9.7,3,1.5,0.6,3.2,4.1,19.7,94,108
LAC,44,1,3.6,7.6,0.473684211,1.9,4.5,0.422222222,1.7,3.2,0.53125,0.598684211,1.5,1.9,0.789473684,0.4,2.8,3.2,4.7,0.8,0,0.8,4,10.6,133,112
DET,20,1,1.9,5.7,0.333333333,1.9,5.7,0.333333333,0,0,0,0.5,0,0,0,0,1.9,1.9,9.5,5.7,0,1.9,3.8,5.7,117,107
BOS,43,1,5.5,12.7,0.433070866,1.3,3.6,0.361111111,4.2,9.1,0.461538462,0.484251969,4.4,4.7,0.936170213,0.8,4.3,5.1,6.2,2.1,0.5,2.8,4.8,16.6,113,108
IND,39,3,11.5,21.6,0.532407407,1.9,4.7,0.404255319,9.7,16.9,0.573964497,0.576388889,3.7,4.6,0.804347826,1.5,4.5,5.9,2.2,1.7,0.7,1.9,4.2,28.7,116,110
CHO,23,4,7.6,16.8,0.452380952,2.4,6.6,0.363636364,5.2,10.2,0.509803922,0.523809524,2.5,3.9,0.641025641,1.7,7.3,9,3.5,1.5,1.3,2.6,4.5,20.2,105,112
MEM,32,2,5.7,13.7,0.416058394,1.4,3.8,0.368421053,4.2,9.9,0.424242424,0.467153285,1.4,3.8,0.368421053,2.8,5.2,8,1.9,2.4,0.5,0.9,4.2,14.2,101,111
BOS,43,1,6.5,19,0.342105263,1.6,9.2,0.173913043,4.9,9.8,0.5,0.384210526,3.3,3.3,1,0,4.9,4.9,6.5,2.7,1.1,5.4,6,17.9,83,106
ATL,20,2,0,19.2,0,0,8.2,0,0,11,0,0,0,0,0,0,5.5,5.5,8.2,2.7,0,0,2.7,0,27,114
TOR,46,3,0,4.8,0,0,4.8,0,0,0,0,0,4.8,9.5,0.505263158,0,9.5,9.5,9.5,0,4.8,0,0,4.8,104,103
SAS,27,2,3.8,15.3,0.248366013,0,3.8,0,3.8,11.5,0.330434783,0.248366013,0,0,0,0,3.8,3.8,5.8,1.9,0,1.9,1.9,7.7,63,116
HOU,40,1,13.8,29.3,0.470989761,1.2,4.9,0.244897959,12.6,24.4,0.516393443,0.491467577,6.5,8.4,0.773809524,2.4,8.1,10.4,9,2.1,0.4,5.8,4.6,35.4,107,109
CHI,22,2,9,22.8,0.394736842,3.8,10.8,0.351851852,5.2,12,0.433333333,0.478070175,2.9,3.7,0.783783784,0.8,5.8,6.6,5,1.4,0.2,3.1,3.4,24.7,100,112
SAS,27,2,7.1,15.3,0.464052288,1.9,5.4,0.351851852,5.1,9.9,0.515151515,0.526143791,5,5.8,0.862068966,1,5.4,6.4,6.7,1.3,1.8,2.6,4.3,21,117,114
POR,29,5,10.4,16.8,0.619047619,0.1,0.2,0.5,10.3,16.7,0.616766467,0.62202381,3.8,5.6,0.678571429,6.1,15.5,21.6,1.8,0.6,4.7,2.9,4.5,24.7,124,106
MIN,19,3,11.2,25.2,0.444444444,2.9,8.8,0.329545455,8.3,16.4,0.506097561,0.501984127,4.8,6.6,0.727272727,1.5,5.5,7,4.9,0.9,1.1,3.4,3.2,30.1,104,115
GSW,15,2,10.2,22.3,0.457399103,2.4,7,0.342857143,7.8,15.3,0.509803922,0.511210762,4.9,7.2,0.680555556,2.1,4.4,6.5,5.1,1.9,2,3,3.1,27.7,106,113
BOS,43,4,4,9.5,0.421052632,1,4.2,0.238095238,2.9,5.3,0.547169811,0.473684211,1.8,2.5,0.72,2.9,5.3,8.2,3.1,1.4,1.6,2.3,7.4,10.8,104,108
